product_id,category_id,admin_id,name,description,price,stock_quantity,image_url,is_active,created_at
18,7,5,Beaded Tassel Necklace,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,860.28,4,https://cdn.onebloom.pk/products/p0018.jpg,1,2023-02-24 04:09:51
19,8,1,Rose Quartz Drop Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,825.14,19,https://cdn.onebloom.pk/products/p0019.jpg,1,2023-05-02 17:48:26
20,10,5,Amethyst Crystal Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,1003.16,50,https://cdn.onebloom.pk/products/p0020.jpg,1,2024-06-19 12:28:58
21,7,4,Lapis Lazuli Pendant,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,1021.36,37,https://cdn.onebloom.pk/products/p0021.jpg,1,2024-09-27 01:39:47
22,9,2,Tiger Eye Bracelet,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,689.69,48,https://cdn.onebloom.pk/products/p0022.jpg,1,2023-09-28 21:05:10
23,8,1,Moonstone Stud Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,857.94,35,https://cdn.onebloom.pk/products/p0023.jpg,1,2024-02-23 14:44:38
24,10,2,Clear Quartz Wire Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,664.47,2,https://cdn.onebloom.pk/products/p0024.jpg,1,2023-10-17 22:55:29
25,7,3,Pressed Flower Resin Pendant,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,574.91,14,https://cdn.onebloom.pk/products/p0025.jpg,1,2024-10-02 18:42:51
26,8,1,Glitter Galaxy Resin Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,730.1,27,https://cdn.onebloom.pk/products/p0026.jpg,1,2024-10-25 04:58:17
27,10,1,Resin Ocean Wave Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,647.99,4,https://cdn.onebloom.pk/products/p0027.jpg,1,2023-11-11 19:47:52
28,7,4,Dried Rose Resin Necklace,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,827.68,18,https://cdn.onebloom.pk/products/p0028.jpg,1,2024-12-06 09:44:25
29,8,5,Sparkle Resin Stud Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,585.67,32,https://cdn.onebloom.pk/products/p0029.jpg,1,2023-03-24 19:02:56
30,11,5,Resin Floral Keychain,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,386.41,20,https://cdn.onebloom.pk/products/p0030.jpg,1,2023-04-04 07:43:53
31,9,1,Star Charm Bracelet,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,708.16,37,https://cdn.onebloom.pk/products/p0031.jpg,1,2024-11-19 08:36:02
32,7,4,Heart Charm Necklace,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,767.09,11,https://cdn.onebloom.pk/products/p0032.jpg,1,2024-03-28 08:11:37
33,8,1,Celestial Charm Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,530.77,31,https://cdn.onebloom.pk/products/p0033.jpg,1,2024-02-23 10:20:42
34,10,3,Initial Letter Charm Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,376.15,10,https://cdn.onebloom.pk/products/p0034.jpg,1,2024-05-22 09:42:25
35,11,1,Mushroom Charm Keychain,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,412.71,35,https://cdn.onebloom.pk/products/p0035.jpg,1,2023-11-19 08:20:07
36,9,5,Butterfly Charm Bracelet,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,791.06,25,https://cdn.onebloom.pk/products/p0036.jpg,1,2023-01-02 21:55:34
37,8,2,Coquette Bow Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,515.49,3,https://cdn.onebloom.pk/products/p0037.jpg,1,2024-09-29 15:40:28
38,7,3,Gothic Cross Pendant,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,904.0,13,https://cdn.onebloom.pk/products/p0038.jpg,1,2023-10-22 14:56:44
39,9,5,Y2K Chunky Chain Bracelet,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,719.65,1,https://cdn.onebloom.pk/products/p0039.jpg,1,2024-12-27 05:19:35
40,8,1,Fairycore Petal Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,383.28,26,https://cdn.onebloom.pk/products/p0040.jpg,1,2023-04-27 14:07:41
41,10,3,Cottagecore Mushroom Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,541.39,31,https://cdn.onebloom.pk/products/p0041.jpg,1,2023-10-07 13:53:30
42,7,4,K-pop Inspired Pearl Necklace,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,1092.1,15,https://cdn.onebloom.pk/products/p0042.jpg,1,2024-01-28 06:58:38
43,11,1,Anime Eye Pin Brooch,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,401.65,8,https://cdn.onebloom.pk/products/p0043.jpg,1,2024-02-29 10:59:50
44,7,3,Vintage Cameo Pendant,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,1053.87,0,https://cdn.onebloom.pk/products/p0044.jpg,1,2024-08-24 18:42:31
45,8,5,Celestial Sun Moon Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,759.58,28,https://cdn.onebloom.pk/products/p0045.jpg,1,2023-12-07 17:48:34
46,8,2,Grunge Safety Pin Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,375.44,20,https://cdn.onebloom.pk/products/p0046.jpg,1,2023-09-02 18:24:14
47,7,1,Minimalist Bar Necklace,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,706.8,26,https://cdn.onebloom.pk/products/p0047.jpg,1,2024-04-29 22:58:51
48,9,2,Soft Girl Pastel Bracelet,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,495.31,42,https://cdn.onebloom.pk/products/p0048.jpg,1,2023-02-07 04:32:37
49,8,4,Nature Leaf Stud Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,459.68,6,https://cdn.onebloom.pk/products/p0049.jpg,1,2024-04-12 00:46:09
50,8,2,Garden Fairy Drop Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,572.99,41,https://cdn.onebloom.pk/products/p0050.jpg,0,2023-09-29 10:39:44
51,10,3,Floral Wreath Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,511.3,5,https://cdn.onebloom.pk/products/p0051.jpg,1,2024-06-30 12:20:40
52,8,4,Vintage Pearl Drop Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,851.55,48,https://cdn.onebloom.pk/products/p0052.jpg,1,2023-02-06 19:04:15
53,9,2,Coquette Lace Bracelet,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,689.35,18,https://cdn.onebloom.pk/products/p0053.jpg,1,2024-03-20 03:48:40
54,11,4,Gothic Bat Charm Keychain,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,420.78,6,https://cdn.onebloom.pk/products/p0054.jpg,1,2023-11-03 00:02:20
55,7,3,Crystal Aurora Bead Necklace,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,1108.26,18,https://cdn.onebloom.pk/products/p0055.jpg,1,2023-05-30 07:33:26
56,9,2,Bohemian Stone Wrap Bracelet,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,826.37,50,https://cdn.onebloom.pk/products/p0056.jpg,1,2023-03-22 19:55:24
57,10,4,Pressed Lavender Resin Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,581.12,15,https://cdn.onebloom.pk/products/p0057.jpg,1,2023-05-27 07:29:40
58,8,1,Cherry Charm Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,440.95,16,https://cdn.onebloom.pk/products/p0058.jpg,1,2024-04-21 09:43:34
59,9,3,Moon Bead Anklet,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,386.33,28,https://cdn.onebloom.pk/products/p0059.jpg,1,2023-11-03 20:27:44
60,7,2,Wire Sunburst Pendant,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,637.53,19,https://cdn.onebloom.pk/products/p0060.jpg,1,2024-05-09 03:15:24
61,8,3,Fairy Wing Resin Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,651.58,36,https://cdn.onebloom.pk/products/p0061.jpg,1,2023-10-30 00:53:42
62,10,5,Gothic Skull Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,568.74,0,https://cdn.onebloom.pk/products/p0062.jpg,1,2023-02-20 19:47:31
63,8,2,K-pop Idol Star Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,608.21,18,https://cdn.onebloom.pk/products/p0063.jpg,1,2023-12-27 07:40:12
64,7,2,Vintage Filigree Pendant,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,948.36,43,https://cdn.onebloom.pk/products/p0064.jpg,1,2024-10-04 20:02:19
65,8,5,Cottagecore Acorn Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,531.38,2,https://cdn.onebloom.pk/products/p0065.jpg,1,2023-05-15 02:58:18
66,7,2,Celestial Crescent Necklace,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,780.69,26,https://cdn.onebloom.pk/products/p0066.jpg,1,2024-07-06 11:33:32
67,9,3,Y2K Jelly Bead Bracelet,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,482.7,10,https://cdn.onebloom.pk/products/p0067.jpg,1,2024-05-08 09:47:55
68,11,4,Anime Sakura Hair Pin,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,307.58,7,https://cdn.onebloom.pk/products/p0068.jpg,1,2023-05-25 07:55:43
69,10,5,Minimalist Gold Bar Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,753.48,25,https://cdn.onebloom.pk/products/p0069.jpg,1,2024-02-09 00:16:34
70,8,3,Soft Girl Cloud Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,409.66,23,https://cdn.onebloom.pk/products/p0070.jpg,1,2024-10-15 11:06:43
71,7,5,Nature Fern Resin Pendant,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,666.51,1,https://cdn.onebloom.pk/products/p0071.jpg,1,2024-07-28 10:58:39
72,10,4,Grunge Chain Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,461.98,4,https://cdn.onebloom.pk/products/p0072.jpg,1,2023-11-06 20:26:07
73,11,3,Floral Pastel Headband,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,382.15,2,https://cdn.onebloom.pk/products/p0073.jpg,1,2023-04-29 03:15:56
74,10,4,Coquette Pink Bow Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,427.51,24,https://cdn.onebloom.pk/products/p0074.jpg,1,2024-12-14 17:26:37
75,8,4,Fairycore Dewdrop Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,627.84,9,https://cdn.onebloom.pk/products/p0075.jpg,1,2024-05-16 19:26:17
76,7,2,Celestial Star Map Necklace,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,766.36,23,https://cdn.onebloom.pk/products/p0076.jpg,1,2023-08-30 11:06:43
77,7,3,Gothic Velvet Choker,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,746.93,41,https://cdn.onebloom.pk/products/p0077.jpg,0,2023-10-10 06:07:54
78,8,2,Natural Amethyst Stud Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,979.68,5,https://cdn.onebloom.pk/products/p0078.jpg,1,2024-09-03 00:03:50
79,7,5,Resin Monarch Butterfly Pendant,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,666.73,8,https://cdn.onebloom.pk/products/p0079.jpg,1,2024-07-21 06:37:13
80,8,3,Handmade Pearl Stud Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,643.92,14,https://cdn.onebloom.pk/products/p0080.jpg,1,2024-09-02 00:17:54
